x,y,z
0.2605272,-0.3064876,-0.9155274
0.2605272,-0.3064876,-0.9155274
0.2605272,-0.3064876,-0.9155274
0.2605272,-0.3064876,-0.9155274
0.2605272,-0.3064876,-0.9155274
0.2322152,-0.27889,-0.9318243
0.2322152,-0.27889,-0.9318243
0.2322152,-0.27889,-0.9318243
0.2322152,-0.27889,-0.9318243
0.2082501,-0.248918,-0.9458708
0.2082501,-0.248918,-0.9458708
0.2082501,-0.248918,-0.9458708
0.2082501,-0.248918,-0.9458708
0.2082501,-0.248918,-0.9458708
0.2178277,-0.2547513,-0.9421532
0.2178277,-0.2547513,-0.9421532
0.2178277,-0.2547513,-0.9421532
0.2178277,-0.2547513,-0.9421532
0.2183107,-0.2633572,-0.9396719
0.2183107,-0.2633572,-0.9396719
0.2183107,-0.2633572,-0.9396719
0.2183107,-0.2633572,-0.9396719
0.2109404,-0.2536604,-0.9440129
0.2109404,-0.2536604,-0.9440129
0.2109404,-0.2536604,-0.9440129
0.2109404,-0.2536604,-0.9440129
0.2114215,-0.2540014,-0.9438136
0.2114215,-0.2540014,-0.9438136
0.2114215,-0.2540014,-0.9438136
0.2114215,-0.2540014,-0.9438136
0.2074926,-0.250994,-0.9454886
0.2074926,-0.250994,-0.9454886
0.2074926,-0.250994,-0.9454886
0.2074926,-0.250994,-0.9454886
0.2074926,-0.250994,-0.9454886
0.2074926,-0.250994,-0.9454886
0.2037328,-0.2480314,-0.9470868
0.2037328,-0.2480314,-0.9470868
0.2037328,-0.2480314,-0.9470868
0.1963362,-0.2448477,-0.9494743
0.1963362,-0.2448477,-0.9494743
0.1963362,-0.2448477,-0.9494743
0.1963362,-0.2448477,-0.9494743
0.1879037,-0.2445395,-0.9512584
0.1879037,-0.2445395,-0.9512584
0.1879037,-0.2445395,-0.9512584
0.1879037,-0.2445395,-0.9512584
0.1879037,-0.2445395,-0.9512584
0.1780184,-0.2413374,-0.9539737
0.1780184,-0.2413374,-0.9539737
0.1780184,-0.2413374,-0.9539737
0.1780184,-0.2413374,-0.9539737
0.1780184,-0.2413374,-0.9539737
0.1738523,-0.2369395,-0.9558426
0.1738523,-0.2369395,-0.9558426
0.1738523,-0.2369395,-0.9558426
0.1738523,-0.2369395,-0.9558426
0.1738523,-0.2369395,-0.9558426
0.1702697,-0.2315779,-0.9577994
0.1702697,-0.2315779,-0.9577994
0.1702697,-0.2315779,-0.9577994
0.1702697,-0.2315779,-0.9577994
0.1616533,-0.2262817,-0.9605544
0.1616533,-0.2262817,-0.9605544
0.1616533,-0.2262817,-0.9605544
0.1616533,-0.2262817,-0.9605544
0.1493199,-0.2178888,-0.9644833
0.1493199,-0.2178888,-0.9644833
0.1493199,-0.2178888,-0.9644833
0.1493199,-0.2178888,-0.9644833
0.1493199,-0.2178888,-0.9644833
0.1449981,-0.2092208,-0.9670585
0.1449981,-0.2092208,-0.9670585
0.1449981,-0.2092208,-0.9670585
0.1449981,-0.2092208,-0.9670585
0.1461768,-0.1937603,-0.9700975
0.1461768,-0.1937603,-0.9700975
0.1461768,-0.1937603,-0.9700975
0.1461768,-0.1937603,-0.9700975
0.1461768,-0.1937603,-0.9700975
0.1461768,-0.1937603,-0.9700975
0.1485697,-0.1896815,-0.97054
0.1485697,-0.1896815,-0.97054
0.1485697,-0.1896815,-0.97054
0.1485697,-0.1896815,-0.97054
0.1599431,-0.1785481,-0.9708443
0.1599431,-0.1785481,-0.9708443
0.1599431,-0.1785481,-0.9708443
0.1664955,-0.1759193,-0.9702225
0.1664955,-0.1759193,-0.9702225
0.1664955,-0.1759193,-0.9702225
0.1664955,-0.1759193,-0.9702225
0.1871458,-0.1753639,-0.9665526
0.1871458,-0.1753639,-0.9665526
0.1871458,-0.1753639,-0.9665526
0.1871458,-0.1753639,-0.9665526
0.1871458,-0.1753639,-0.9665526
0.1962732,-0.1765931,-0.9645162
0.1962732,-0.1765931,-0.9645162
0.1962732,-0.1765931,-0.9645162
0.1962732,-0.1765931,-0.9645162
0.1962732,-0.1765931,-0.9645162
0.1962732,-0.1765931,-0.9645162
0.2054528,-0.1767982,-0.9625649
0.2054528,-0.1767982,-0.9625649
0.2054528,-0.1767982,-0.9625649
0.2189309,-0.1758878,-0.9597566
0.2189309,-0.1758878,-0.9597566
0.2189309,-0.1758878,-0.9597566
0.2189309,-0.1758878,-0.9597566
0.2189309,-0.1758878,-0.9597566
0.2283139,-0.17046,-0.9585489
0.2283139,-0.17046,-0.9585489
0.2283139,-0.17046,-0.9585489
0.2283139,-0.17046,-0.9585489
0.2236504,-0.1565612,-0.962013
0.2236504,-0.1565612,-0.962013
0.2236504,-0.1565612,-0.962013
0.2236504,-0.1565612,-0.962013
0.2236504,-0.1565612,-0.962013
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
0.1467871,-0.1514435,-0.9775062
-0.09045824,-0.01807059,-0.9957362
-0.09045824,-0.01807059,-0.9957362
-0.09045824,-0.01807059,-0.9957362
-0.09045824,-0.01807059,-0.9957362
-0.2581861,0.143083,-0.9554408
-0.2581861,0.143083,-0.9554408
-0.2581861,0.143083,-0.9554408
-0.2581861,0.143083,-0.9554408
-0.2581861,0.143083,-0.9554408
-0.3328338,0.2372724,-0.9126464
-0.3328338,0.2372724,-0.9126464
-0.3328338,0.2372724,-0.9126464
-0.3328338,0.2372724,-0.9126464
-0.3837776,0.372517,-0.8449529
-0.3837776,0.372517,-0.8449529
-0.3837776,0.372517,-0.8449529
-0.3837776,0.372517,-0.8449529
-0.3086885,0.1542815,-0.9385672
-0.3086885,0.1542815,-0.9385672
-0.3086885,0.1542815,-0.9385672
-0.3086885,0.1542815,-0.9385672
-0.2301507,0.1950043,-0.9534169
-0.2301507,0.1950043,-0.9534169
-0.2301507,0.1950043,-0.9534169
-0.2301507,0.1950043,-0.9534169
-0.2077954,0.1921565,-0.9591125
-0.2077954,0.1921565,-0.9591125
-0.2077954,0.1921565,-0.9591125
-0.2077954,0.1921565,-0.9591125
-0.2077954,0.1921565,-0.9591125
-0.220651,0.1775635,-0.9590538
-0.220651,0.1775635,-0.9590538
-0.220651,0.1775635,-0.9590538
-0.220651,0.1775635,-0.9590538
-0.220651,0.1775635,-0.9590538
-0.220651,0.1775635,-0.9590538
-0.2076903,0.1746176,-0.9624829
-0.2076903,0.1746176,-0.9624829
-0.2012827,0.1720387,-0.964307
-0.2012827,0.1720387,-0.964307
-0.2012827,0.1720387,-0.964307
-0.2012827,0.1720387,-0.964307
-0.2012827,0.1720387,-0.964307
-0.1874253,0.1661019,-0.9681332
-0.1874253,0.1661019,-0.9681332
-0.1874253,0.1661019,-0.9681332
-0.1874253,0.1661019,-0.9681332
-0.1813782,0.1628442,-0.969837
-0.1813782,0.1628442,-0.969837
-0.1813782,0.1628442,-0.969837
-0.1813782,0.1628442,-0.969837
-0.1813782,0.1628442,-0.969837
-0.1813782,0.1628442,-0.969837
-0.175454,0.1597793,-0.9714352
-0.175454,0.1597793,-0.9714352
-0.175454,0.1597793,-0.9714352
-0.175454,0.1597793,-0.9714352
-0.1454417,0.1435407,-0.9788987
-0.1454417,0.1435407,-0.9788987
-0.1454417,0.1435407,-0.9788987
-0.1454417,0.1435407,-0.9788987
-0.1144234,0.1257962,-0.9854352
-0.1144234,0.1257962,-0.9854352
-0.1144234,0.1257962,-0.9854352
-0.1144234,0.1257962,-0.9854352
-0.09652488,0.114774,-0.988691
-0.09652488,0.114774,-0.988691
-0.09652488,0.114774,-0.988691
-0.09652488,0.114774,-0.988691
-0.09652488,0.114774,-0.988691
-0.08452556,0.1072919,-0.9906281
-0.08452556,0.1072919,-0.9906281
-0.08452556,0.1072919,-0.9906281
-0.08452556,0.1072919,-0.9906281
-0.08452556,0.1072919,-0.9906281
-0.08452556,0.1072919,-0.9906281
-0.07965643,0.1043677,-0.9913437
-0.07965643,0.1043677,-0.9913437
-0.07965643,0.1043677,-0.9913437
-0.07965643,0.1043677,-0.9913437
-0.07176004,0.09975122,-0.9924214
-0.07176004,0.09975122,-0.9924214
-0.07176004,0.09975122,-0.9924214
-0.06615771,0.09605379,-0.993175
-0.06615771,0.09605379,-0.993175
-0.06615771,0.09605379,-0.993175
-0.06615771,0.09605379,-0.993175
-0.06615771,0.09605379,-0.993175
-0.06384945,0.09457853,-0.9934677
-0.06384945,0.09457853,-0.9934677
-0.06384945,0.09457853,-0.9934677
-0.06384945,0.09457853,-0.9934677
-0.06384945,0.09457853,-0.9934677
-0.06164971,0.09315289,-0.9937413
-0.06164971,0.09315289,-0.9937413
-0.06164971,0.09315289,-0.9937413
-0.06164971,0.09315289,-0.9937413
-0.05584424,0.08973545,-0.9943987
-0.05584424,0.08973545,-0.9943987
-0.05584424,0.08973545,-0.9943987
-0.05584424,0.08973545,-0.9943987
-0.0545055,0.08886826,-0.9945509
-0.0545055,0.08886826,-0.9945509
-0.0545055,0.08886826,-0.9945509
-0.0545055,0.08886826,-0.9945509
-0.0545055,0.08886826,-0.9945509
-0.05207278,0.08716097,-0.9948323
-0.05207278,0.08716097,-0.9948323
-0.05207278,0.08716097,-0.9948323
-0.05207278,0.08716097,-0.9948323
-0.05207278,0.08716097,-0.9948323
-0.05207278,0.08716097,-0.9948323
-0.05083176,0.08633698,-0.9949684
-0.05083176,0.08633698,-0.9949684
-0.05083176,0.08633698,-0.9949684
-0.04866768,0.08505819,-0.9951867
-0.04866768,0.08505819,-0.9951867
-0.04866768,0.08505819,-0.9951867
-0.04866768,0.08505819,-0.9951867
-0.04712524,0.08409469,-0.9953428
-0.04712524,0.08409469,-0.9953428
-0.04712524,0.08409469,-0.9953428
-0.04712524,0.08409469,-0.9953428
-0.04712524,0.08409469,-0.9953428
-0.0464116,0.08354707,-0.9954224
-0.0464116,0.08354707,-0.9954224
-0.0464116,0.08354707,-0.9954224
-0.0464116,0.08354707,-0.9954224
-0.0464116,0.08354707,-0.9954224
-0.0464116,0.08354707,-0.9954224
-0.04486056,0.08261365,-0.9955714
-0.04486056,0.08261365,-0.9955714
-0.04486056,0.08261365,-0.9955714
-0.04350273,0.0819777,-0.9956842
-0.04350273,0.0819777,-0.9956842
-0.04350273,0.0819777,-0.9956842
-0.04350273,0.0819777,-0.9956842
-0.04298645,0.08161825,-0.9957362
-0.04298645,0.08161825,-0.9957362
-0.04298645,0.08161825,-0.9957362
-0.04298645,0.08161825,-0.9957362
-0.04298645,0.08161825,-0.9957362
-0.04196076,0.08080392,-0.9958463
-0.04196076,0.08080392,-0.9958463
-0.04196076,0.08080392,-0.9958463
-0.04196076,0.08080392,-0.9958463
-0.04196076,0.08080392,-0.9958463
-0.04196076,0.08080392,-0.9958463
-0.04142307,0.08045621,-0.995897
-0.04142307,0.08045621,-0.995897
-0.04142307,0.08045621,-0.995897
-0.04004348,0.07969188,-0.9960149
-0.04004348,0.07969188,-0.9960149
-0.04004348,0.07969188,-0.9960149
-0.04004348,0.07969188,-0.9960149
-0.02330849,0.06427147,-0.9976602
-0.02330849,0.06427147,-0.9976602
-0.02330849,0.06427147,-0.9976602
-0.002060452,0.05963269,-0.9982183
-0.002060452,0.05963269,-0.9982183
-0.002060452,0.05963269,-0.9982183
-0.002060452,0.05963269,-0.9982183
-0.002060452,0.05963269,-0.9982183
